Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Pokedex,,,,25-05-2024 11:43:32,25-05-2024 11:44:01,29.083s,PASSED
,,,,,,,
Test Cases/API/getAbilityById,,,,25-05-2024 11:43:32,25-05-2024 11:43:34,1.967s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""1""]))",,,,25-05-2024 11:43:32,25-05-2024 11:43:34,1.691s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:34,25-05-2024 11:43:34,0.020s,PASSED
,,,,,,,
Test Cases/API/getAbilityByName,,,,25-05-2024 11:43:34,25-05-2024 11:43:35,1.241s,PASSED
"response = sendRequest(findTestObject(""REST/getAbility"", [""id"":""stench""]))",,,,25-05-2024 11:43:34,25-05-2024 11:43:35,1.161s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.002s,PASSED
,,,,,,,
Test Cases/API/getAllPokemon,,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.200s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""100""]))",,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.157s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.004s,PASSED
,,,,,,,
Test Cases/API/getAllPokemonLimit100,,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.243s,PASSED
"response = sendRequest(findTestObject(""REST/getAllPokemon"", [""limit"":""10""]))",,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.184s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:35,25-05-2024 11:43:35,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryById,,,,25-05-2024 11:43:35,25-05-2024 11:43:37,1.189s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""5""]))",,,,25-05-2024 11:43:35,25-05-2024 11:43:37,1.138s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:37,25-05-2024 11:43:37,0.003s,PASSED
,,,,,,,
Test Cases/API/getBerryByName,,,,25-05-2024 11:43:37,25-05-2024 11:43:38,1.191s,PASSED
"response = sendRequest(findTestObject(""REST/getBerry"", [""id"":""cheri""]))",,,,25-05-2024 11:43:37,25-05-2024 11:43:38,1.145s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:38,25-05-2024 11:43:38,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorById,,,,25-05-2024 11:43:38,25-05-2024 11:43:39,1.135s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""1""]))",,,,25-05-2024 11:43:38,25-05-2024 11:43:39,1.098s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.002s,PASSED
,,,,,,,
Test Cases/API/getBerryFlavorByName,,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.187s,PASSED
"response = sendRequest(findTestObject(""REST/getBerryFlavor"", [""id"":""spicy""]))",,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.149s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.002s,PASSED
,,,,,,,
Test Cases/API/getCharacteristicById,,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.179s,PASSED
"response = sendRequest(findTestObject(""REST/getCharacteristic"", [""id"":""1""]))",,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.141s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:39,25-05-2024 11:43:39,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesById,,,,25-05-2024 11:43:39,25-05-2024 11:43:40,1.161s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""1""]))",,,,25-05-2024 11:43:39,25-05-2024 11:43:40,1.124s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:40,25-05-2024 11:43:40,0.002s,PASSED
,,,,,,,
Test Cases/API/getContestTypesByName,,,,25-05-2024 11:43:40,25-05-2024 11:43:42,1.168s,PASSED
"response = sendRequest(findTestObject(""REST/getContestTypes"", [""id"":""cool""]))",,,,25-05-2024 11:43:40,25-05-2024 11:43:42,1.131s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.002s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupById,,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.190s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""monster""]))",,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.154s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.001s,PASSED
,,,,,,,
Test Cases/API/getEggsGroupByName,,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.207s,PASSED
"response = sendRequest(findTestObject(""REST/getEggsGroup"", [""id"":""1""]))",,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.154s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:42,25-05-2024 11:43:42,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesById,,,,25-05-2024 11:43:42,25-05-2024 11:43:43,1.174s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""swarm-yes""]))",,,,25-05-2024 11:43:42,25-05-2024 11:43:43,1.134s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:43,25-05-2024 11:43:43,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncounterConditionValuesByName,,,,25-05-2024 11:43:43,25-05-2024 11:43:44,1.110s,PASSED
"response = sendRequest(findTestObject(""REST/getEncouterConditionValue"", [""id"":""1""]))",,,,25-05-2024 11:43:43,25-05-2024 11:43:44,1.073s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:44,25-05-2024 11:43:44,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionById,,,,25-05-2024 11:43:44,25-05-2024 11:43:44,0.184s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""1""]))",,,,25-05-2024 11:43:44,25-05-2024 11:43:44,0.145s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:44,25-05-2024 11:43:44,0.002s,PASSED
,,,,,,,
Test Cases/API/getEncouterConditionByName,,,,25-05-2024 11:43:44,25-05-2024 11:43:46,1.150s,PASSED
"response = sendRequest(findTestObject(""REST/getEncounterCondition"", [""id"":""swarm""]))",,,,25-05-2024 11:43:44,25-05-2024 11:43:46,1.114s,PASSED
"verifyResponseStatusCode(response, 200)",,,,25-05-2024 11:43:46,25-05-2024 11:43:46,0.001s,PASSED
,,,,,,,
Test Cases/API/getEncouterMethodById,,,,25-05-2024 11:43:46,25-05-2024 11:43:47,1.160s,PASSED
