Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
StarRail,Chrome 125.0.0.0,,,29-05-2024 17:27:50,29-05-2024 17:43:06,15m - 15.996s,FAILED
,,,,,,,
Test Cases/Honkai Star Rail/Character/4_star,Chrome 125.0.0.0,,,29-05-2024 17:27:50,29-05-2024 17:28:07,17.101s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 17:27:50,29-05-2024 17:27:51,1.228s,PASSED
"navigateToUrl(""https://honkai-builds.com/nhan-vat"")",Chrome 125.0.0.0,,,29-05-2024 17:27:51,29-05-2024 17:28:05,14.173s,PASSED
"click(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/img_Nhn Vt_jet-tabs__label-image""))",Chrome 125.0.0.0,,,29-05-2024 17:28:05,29-05-2024 17:28:06,0.934s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/div_Gallagher""), 0)",Chrome 125.0.0.0,,,29-05-2024 17:28:06,29-05-2024 17:28:07,0.307s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 17:28:07,29-05-2024 17:28:07,0.210s,PASSED
,,,,,,,
Test Cases/Honkai Star Rail/Character/5-Star,Chrome 125.0.0.0,,,29-05-2024 17:28:58,29-05-2024 17:29:14,15.305s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 17:28:58,29-05-2024 17:28:59,0.831s,PASSED
"navigateToUrl(""https://honkai-builds.com/nhan-vat"")",Chrome 125.0.0.0,,,29-05-2024 17:28:59,29-05-2024 17:29:12,12.379s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/div_Boothill""))",Chrome 125.0.0.0,,,29-05-2024 17:29:12,29-05-2024 17:29:14,2.084s,FAILED
,,,,,,,
Test Cases/Honkai Star Rail/Character/Bang,Chrome 125.0.0.0,,,29-05-2024 17:29:14,29-05-2024 17:29:29,15.785s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 17:29:14,29-05-2024 17:29:15,0.813s,PASSED
"navigateToUrl(""https://honkai-builds.com/nhan-vat"")",Chrome 125.0.0.0,,,29-05-2024 17:29:15,29-05-2024 17:29:28,13.269s,PASSED
"click(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/img_Nhn Vt_jet-tabs__label-image (5)""))",Chrome 125.0.0.0,,,29-05-2024 17:29:28,29-05-2024 17:29:29,1.181s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/div_Jingliu""), 0)",Chrome 125.0.0.0,,,29-05-2024 17:29:29,29-05-2024 17:29:29,0.310s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 17:29:29,29-05-2024 17:29:29,0.172s,PASSED
,,,,,,,
Test Cases/Honkai Star Rail/Character/Character_Detail,Chrome 125.0.0.0,,,29-05-2024 17:29:29,29-05-2024 17:29:37,7.449s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 17:29:30,29-05-2024 17:29:30,0.713s,PASSED
"navigateToUrl(""https://honkai-builds.com/nhan-vat/boothill"")",Chrome 125.0.0.0,,,29-05-2024 17:29:30,29-05-2024 17:29:36,5.334s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Hng Dn Cch Build Boothill - Honkai Builds/h1_Boothill""), ""Boothill"")",Chrome 125.0.0.0,,,29-05-2024 17:29:36,29-05-2024 17:29:37,1.160s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 17:29:37,29-05-2024 17:29:37,0.174s,PASSED
,,,,,,,
Test Cases/Honkai Star Rail/Character/character_page,Chrome 125.0.0.0,,,29-05-2024 17:29:37,29-05-2024 17:29:52,15.007s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 17:29:37,29-05-2024 17:29:38,0.848s,PASSED
"navigateToUrl(""https://honkai-builds.com/nhan-vat"")",Chrome 125.0.0.0,,,29-05-2024 17:29:38,29-05-2024 17:29:50,12.364s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Tng Hp Nhn Vt Honkai Star Rail - Honka_8a0d51/h1_Nhn Vt""), ""Nhân Vật"")",Chrome 125.0.0.0,,,29-05-2024 17:29:50,29-05-2024 17:29:52,1.533s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 17:29:52,29-05-2024 17:29:52,0.162s,PASSED
,,,,,,,
